AIP 97, Academic Internship (2, 4), 2, 4
AIP 197, Academic Internship  Program (4, 8, 12), 4, 8, 12
AIP 197F, Academic Internship  Program—Foreign (4, 8, 12), 4, 8, 12
AIP 197P, Public Service Minor Internship (4), 4
POLI 229, Special Topics in Comparative Politics (4), 4
POLI 231E, Politics of Development (4), 4
POLI 232, International Organization (4), 4
POLI 235A, Latin American Politics (4), 4
POLI 236, Immigration Policy and Politics (4), 4
POLI 240, International Relations Theory (4), 4
POLI 242, The European Union and Global Governance (4), 4
POLI 243, International Security (4), 4
POLI 244, International Institutions (4), 4
POLI 244A, European Integration (4), 4
POLI 245, International Political Economy (4), 4
POLI 245A, Political Economy of Regional Integration (4), 4
POLI 247A, Quantitative International Relations (4), 4
POLI 247B, Formal Models in International Relations (4), 4
POLI 247C, History of International Relations (4), 4
POLI 248, Special Topics in International Relations (4), 4
POLI 251, American Political Institutions (4), 4
POLI 252, American Politics: Behavior (4), 4
POLI 253, Research in State Politics (4), 4
POLI 254, American Political Development (4), 4
POLI 255, Urban Politics (4), 4
POLI 257, Voting and Elections (4), 4
POLI 259, Special Topics in American Politics (4), 4
POLI 270, Mathematical and Statistical Foundations (4), 4
POLI 271, Advanced Statistical Applications (4), 4
POLI 272, Bayesian Methods (4), 4
POLI 273, Causal Inference (4), 4
POLI 274, Text as Data (4), 4
POLI 275, Interviews, Survey Design, and Sampling (4), 4
POLI 278, Political Economy Models of Elections (4), 4
POLI 279, Special Topics in Methodology (4), 4
POLI 280, Workshop: International Law and Regulation (4), 4
POLI 281, Workshop: American Politics (4), 4
POLI 282, Workshop: Comparative Politics (4), 4
POLI 283, Workshop: International Relations (4), 4
POLI 285, Workshop: Political Theory (4), 4
POLI 286, Workshop: Methodology (4), 4
POLI 287, Multidisciplinary Methods in Political Science: Social Networks (4), 4
POLI 288, Multidisciplinary Methods in Political Science: Computational Social Science (4), 4
POLI 289, Multidisciplinary Methods in Political Science: Biology (4), 4
POLI 298, Directed Reading (1–12), 1–12
POLI 299, Dissertation Research (1–12), 1–12
POLI 500, Apprentice Teaching (1–4), 1–4
POLI 501, Seminar on Teaching Development—American Politics  (1–4), 1–4
POLI 502, Seminar on Teaching Development—Comparative Politics  (1–4), 1–4
POLI 503, Seminar on Teaching Development—International Relations (1–4), 1–4
POLI 504, Seminar on Teaching Development—Political Theory  (1–4), 1–4
POLI 599, Teaching Methods in Political Science (2), 2
PSYC 1, Psychology (4), 4
PSYC 2, General Psychology: Biological Foundations (4), 4
PSYC 3, General Psychology: Cognitive Foundations (4), 4
PSYC 4, General Psychology: Behavioral Foundations (4), 4
PSYC 6, General Psychology: Social Foundations (4), 4
PSYC 7, General Psychology: Developmental Foundations (4), 4
PSYC 60, Introduction to Statistics (4), 4
PSYC 70, Research Methods in Psychology (4), 4
PSYC 71, Laboratory in Psychological Research Methods (4), 4
PSYC 81, Laboratory in Brain, Behavior, and Evolution (4), 4
PSYC 87, Freshman Seminar (1), 1
PSYC 90, Undergraduate Seminar (1), 1
PSYC 93, Topics in Psychology (4), 4
PSYC 99, Independent Study (2 or 4), 2 or 4
PSYC 100, Clinical Psychology (4), 4
PSYC 101, Developmental Psychology (4), 4
PSYC 102, Sensory Neuroscience  (4), 4
PSYC 104, Social Psychology (4), 4
PSYC 105, Cognitive Psychology (4), 4
PSYC 106, Behavioral Neuroscience  (4), 4
PSYC 108, Cognitive Neuroscience (4), 4
PSYC 110, Juniors Honors Research Seminars (4), 4
PSYC 111A, Research Methods I (6), 6
PSYC 111B, Research Methods II (6), 6
PSYC 114, Psychophysiological Perspectives on the Social Mind Laboratory  (4), 4
PSYC 115A, Laboratory in Cognitive Psychology I (4), 4
PSYC 115B, Laboratory in Cognitive Psychology II (4), 4
PSYC 116, Laboratory in Clinical Psychology Research (2, 4), 2, 4
PSYC 117, Laboratory in Educational Research and Outreach  (4), 4
PSYC 120, Learning and Motivation (4), 4
PSYC 121, Laboratory in Operant Psychology (4), 4
PSYC 122, Mechanisms of Animal Behavior (4), 4
PSYC 123, Cognitive Control and Frontal Lobe Function (4), 4
PSYC 124, Clinical Assessment and Treatment  (4), 4
PSYC 125, Clinical Neuropsychology (4), 4
PSYC 126, Practicum in Community Mental Health Care (4), 4
PSYC 128, Psychology of Reading (4), 4
PSYC 129, Logic of Perception (4), 4
PSYC 130, Delay of Gratification (4), 4
PSYC 131, Scientific Racism: Genetics, Intelligence, and Race (4), 4
PSYC 132, Hormones and Behavior (4), 4
PSYC 133, Circadian Rhythms—Biological Clocks (4), 4
PSYC 134, Eating Disorders (4), 4
PSYC 136, Cognitive Development (4), 4
PSYC 137, Social Cognition (4), 4
PSYC 138, Sound and Music Perception (4), 4
PSYC 139, The Social Psychology of Sport (4), 4
PSYC 140, Human Behavior Laboratory (4), 4
PSYC 141, Evolution and Human Nature (4), 4
PSYC 142, Psychology of Consciousness (4), 4
PSYC 143, Control and Analysis of Human Behavior (4), 4
PSYC 144, Memory and Amnesia (4), 4
PSYC 145, Psychology of Language (4), 4
PSYC 146, Language and Conceptual Development (4), 4
PSYC 147, Gender    (4), 4
PSYC 148, Psychology of Judgment and Decision (4), 4
PSYC 150, Cognitive Neuroscience of Vision (4), 4
PSYC 151, Tests and Measurement (4), 4
PSYC 152, Conceptions of Intelligence (4), 4
PSYC 153, Psychology of Emotion (4), 4
PSYC 154, Behavior Modification (4), 4
PSYC 155, Social Psychology and Medicine (4), 4
PSYC 156, Cognitive Development in Infancy (4), 4
PSYC 157, Happiness (4), 4
PSYC 158, Interpersonal Relationships (4), 4
PSYC 159, Physiological Basis of Perception (4), 4
PSYC 161, Engineering Psychology (4), 4
PSYC 162, Psychology and the Law (4), 4
PSYC 164, Criminology (4), 4
PSYC 166, History of Psychology (4), 4
PSYC 167, Science of Imagination (4), 4
PSYC 168, Psychological Disorders of Childhood (4), 4
PSYC 169, Brain Damage and Mental Function (4), 4
PSYC 170, Cognitive Neuropsychology (4), 4
PSYC 171, Neurobiology of Learning and Memory (4), 4
PSYC 172, Psychology of Human Sexuality (4), 4
PSYC 173, Psychology of Food and Behavior (4), 4
PSYC 174, Visual Cognition (4), 4
PSYC 176, Creativity (4), 4
PSYC 178, Industrial Organizational Psychology (4), 4
PSYC 179, Drugs, Addiction, and Mental Disorders (4), 4
PSYC 180, Adolescence (4), 4
PSYC 181, Psychopharmacology—Drugs and Behavior (4), 4
PSYC 182, Illusions and the Brain (4), 4
PSYC 184, Choice and Self-Control (4), 4
PSYC 187, Development of Social Cognition (4), 4
PSYC 188, Impulse Control Disorders (4), 4
PSYC 189, Brain, Behavior, and Evolution (4), 4
PSYC 190, Science of Parenting (4), 4
PSYC 191, Psychology of Sleep (4), 4
PSYC 192, Senior Seminar in Psychology (1), 1
PSYC 193, Topics in Psychology (4), 4
PSYC 193L, Psychology Laboratory Topics (4), 4
PSYC 194A, Honors Thesis I (4), 4
PSYC 194B, Honors Thesis II (4), 4
PSYC 194C, Honors Thesis III (4), 4
PSYC 195, Instruction in Psychology (4), 4
PSYC 196A-B-C, Research Seminar (4-4-4), 4-4-4
PSYC 198, Directed Group Study in Psychology (2 or 4), 2 or 4
PSYC 199, Independent Study (2, 3, 4), 2, 3, 4
PSYC 201A, Quantitative Methods in Psychology I (6), 6
PSYC 201B, Quantitative Methods in Psychology II (6), 6
PSYC 201C, Quantitative Methods in Psychology III (6), 6
PSYC 202, Writing and Presenting Academic Research Papers (4), 4
PSYC 205, Emotion (4), 4
PSYC 206, Mathematical Modeling (4), 4
PSYC 209, Judgment and Decision Making (4), 4
PSYC 210, The Methods of Human Cognitive Neuroscience (5), 5
PSYC 211, Proseminar in Computational Models of Mind (5), 5
PSYC 212, Visual Science (4), 4
PSYC 213, Professional  Procedures and Survival in Psychology (4), 4
PSYC 217, Proseminar in Developmental Psychology (5), 5
PSYC 218, Proseminar in Cognitive Psychology (5), 5
PSYC 220, Proseminar in Social Psychology (5), 5
PSYC 221, Proseminar in Sensation and Perception (5), 5
PSYC 222, Proseminar in Biological Psychology (5), 5
PSYC 223, Current Directions in Vision (1), 1
PSYC 224, Current Directions in Cognitive Neural Systems (CNS) (1), CNS) (1
PSYC 229, Happiness (4), 4
PSYC 231, Data Analysis in Matlab  (4), 4
PSYC 232, Probabilistic Models of Cognition (4), 4
PSYC 233, Learning and Motivation (4), 4
PSYC 234, Evolution of Language (4), 4
PSYC 235, Thought and Language (4), 4
PSYC 236, Substance Abuse (4), 4
PSYC 237, Human Rationality (4), 4
PSYC 240, The Primate Brain (4), 4
PSYC 241, Programming Web-Based Experiments for Psychology Research (4), 4
PSYC 242, Current Directions in Developmental Psychology (1), 1
PSYC 243, Sound and Music Perception (4), 4
PSYC 244, Special Topics in Psycholinguistics (4), 4
PSYC 246, Emotion and Cognition (4), 4
PSYC 247, Learning by Thinking in Children (and Adults) (4), and Adults) (4
PSYC 249A, Advanced Topics in Applied Behavior Analysis I (1), 1
PSYC 249B, Advanced Topics in Applied Behavior Analysis II (1), 1
PSYC 249C, Advanced Topics in Applied Behavior Analysis III (1), 1
PSYC 251, Advanced Topics in Learning and Motivation (1), 1
PSYC 252, Cognitive Neuroscience (4), 4
PSYC 255A, Advanced Topics in Biological Psychology I (1), 1
PSYC 255B, Advanced Topics in Biological Psychology II (1), 1
PSYC 255C, Advanced Topics in Biological Psychology III (1), 1
PSYC 257, Development and Neurobiology of Theory of Mind (4), 4
PSYC 258, Delay of Gratification (4), 4
PSYC 260, Language and Conceptual Development (4), 4
PSYC 262, Functional Construction of the Vertebrate Brain’s Social Behavior Network (4), 4
PSYC 263, Science of Mindfulness (4), 4
PSYC 264A, Advanced Topics in Language Processes I (1), 1
PSYC 264B, Advanced Topics in Language Processes II (1), 1
PSYC 264C, Advanced Topics in Language Processes III (1), 1
PSYC 265, Social Psychology and Medicine (4), 4
PSYC 266, Psychology of Reading (4), 4
PSYC 267A, Advanced Topics in Behavior Medicine I (1), 1
PSYC 267B, Advanced Topics in Behavior Medicine II (1), 1
PSYC 267C, Advanced Topics in Behavior Medicine III (1), 1
PSYC 268, Neurobiology of Action (4), 4
PSYC 269A, Advanced Topics in Sound and Music Perception I (1), 1
PSYC 269B, Advanced Topics in Sound and Music Perception II (1), 1
PSYC 269C, Advanced Topics in Sound and Music Perception III (1), 1
PSYC 270A, Introduction to Laboratory Experimentation I  (4), 4
PSYC 270B, Introduction to Laboratory Experimentation II (4), 4
PSYC 270C, Introduction to Laboratory Experimentation III (4), 4
PSYC 271, Neurobiology of Learning and Memory (4), 4
PSYC 272, Selected Topics in Cognitive Psychology (4), 4
PSYC 273, Selected Topics in Quantitative Methods in Psychology (4), 4
PSYC 274, Current Directions in Social Psychology (1), 1
PSYC 275, Current Directions in Cognitive Psychology (1), 1
PSYC 276, Selected Topics in Social Psychology (4), 4
PSYC 280, Seminar  in Communication and Information Processing (1), 1
PSYC 282, Auditory Neuroscience (4), 4
PSYC 296, Research Practicum (1–12), 1–12
PSYC 299, Research Practicum (1–12), 1–12
PSYC 500, Apprentice Teaching (4), 4
RELI 1, Introduction to Religion (4), 4
RELI 2, Comparative World Religions (4), 4
RELI 87, Freshman Seminar in Religion (1), 1
RELI 101, Tools and Methods in the Study of Religion (4), 4
RELI 134, Topics in American Religion (4), 4
RELI 141, Public Sphere and Religion (4), 4
RELI 143, Topics in Performing Religion (4), 4
RELI 144, Devils and Demons in Christianity (4), 4
RELI 145, Communication, Technology, and Religion (4), 4
RELI 146, Topics in the Religions of Antiquity (4), 4
RELI 147, Pagan Europe and Its Christian Aftermath (4), 4
RELI 148, Religion and Women’s Activisms (4), 4
RELI 149, Islam in America (4), 4
RELI 150, Religion and Cinema (4), 4
RELI 151, Deep Ecology: Knowing Place (4), 4
RELI 153, Hispanic American Religions (4), 4
RELI 154, Asian American Religions (4), 4
RELI 155, African American Religions (4), 4
RELI 157GS, Religion in Japan (4), 4
RELI 158GS, Japanese Literature and Spirituality (4), 4
RELI 188, Special Topics in Religion (4), 4
RELI 189, Seminar in Religion (4), 4
RELI 192, Senior Seminar in Religion (1), 1
RELI 196AH, Honors Thesis in Religion (4), 4
RELI 196BH, Honors Thesis in Religion (4), 4
RELI 197, Directed Advanced Readings (4), 4
RELI 199, Independent  Research Study for Undergraduates (2–4), 2–4
Revelle 1, First Year Experience (2), 2
Revelle 2, Transfer Year Experience (2), 2
Revelle 12, Practicing the Science of Mindfulness (1), 1
Revelle 20, Revelle Freshman Honors Program Seminar (0), 0
ERC 1, First Year Experience (2), 2
ERC 2, Transfer Year Experience (2), 2
ERC 20, Freshman Honors  Seminar: International Themes (1), 1
ERC 89, Practicum in Math Tutoring (2), 2
ERC 92, Honors Project (2), 2
ERC 188, Transfer Seminar: The Research University (1), 1
ERC 192A, Global Service Research Seminar (2), 2
ERC 192B, Global Service Research Seminar (2), 2
ERC 196, Honors Project (4), 4
ERC 199, ERC Independent Studies (4), 4
ERC 90, Undergraduate Seminar (1), 1
COGR 225A,, Introduction    to Science Studies (4), 4
COGR 225B,, Seminar    in Science Studies (4), 4
COGR 225C,, Colloquium    in Science Studies (4), 4
COGR 225D,, Advanced Approaches to Science Studies (4), 4
HIGR 236A-B, Seminar in History of Science (4-4), 4-4
HIGR 242, Topics in the History of Earth and Life    Sciences (4), 4
HISC 160, Historical Approaches to the Study of Science    (4), 4
HISC 161/261, Seminar in Newton and Newtonianism (4), 4
HISC 163/263, History, Science, and Politics of Climate    Change (4), 4
HISC 164/264, Topics in the History of the Physical    Sciences (4), 4
HISC 165, Topics in Twentieth-Century Science and    Culture (4), 4
HISC 166/266, The Galileo Affair (4), 4
HISC 167/267, Gender and Science (4), 4
HISC 170/270, Topics in the History of Science and    Technology (4), 4
HISC 172/272, Building America: Technology, Culture, and the Built Environment in the United States (4), 4
HISC 180/280, Science and Public Policy (4), 4
PHIL 204A, Core Course in Philosophy of Science (4), 4
PHIL 245, Philosophy of Science (4), 4
PHIL 247, Philosophy of Biology (4), 4
PHIL 250A, Philosophy of the Cognitive Sciences (4), 4
PHIL 280, Philosophy of Science Topics and Methods    (1–2), 1–2
SOCG 234, Intellectual Foundation of the Study of Science, Technology, and Medicine (4), 4
SOCG 247, Madness and Society (4), 4
SOCG 249, Technology and the Human (4), 4
SOCG 284, Contemporary Biomedicine (4), 4
SOCG 288, Knowledge Capitalism (4), 4
SXTH 1, First Year Experience (2), 2
SXTH 2, Transfer Year Experience (2), 2
SXTH 20, Freshmen Honors Seminar (1), 1
SOCI 1, Introduction to Sociology  (4), 4
SOCI 2, The Study of Society (4), 4
SOCI 10, American Society: Social Structure and Culture in the    U, American Society: Social Structure and Culture in the    
SOCI 20, Social Change in the Modern World (4), 4
SOCI 30, Science, Technology, and Society (4), 4
SOCI 40, Sociology of Health-Care Issues (4), 4
SOCI 50, Introduction to Law and Society (4), 4
SOCI 60, The Practice of Social Research (4), 4
SOCI 70, General Sociology for Premedical Students (4), 4
SOCI 87, Freshman Seminar (1), 1
SOCI 98, Directed Group Study (4), 4
SOCI 99, Independent Study (4), 4
SOCI 100, Classical Sociological Theory (4), 4
SOCI 102, Network Data and Methods (4), 4
SOCI 103M, Computer Applications to Data Management in Sociology (4), 4
SOCI 104, Field  Research: Methods of Participant Observation (4), 4
SOCI 104Q, Qualitative Interviewing (4), 4
SOCI 105, Ethnographic Film: Media Methods (6), 6
SOCI 106, Comparative and Historical Methods (4), 4
SOCI 106M, Holocaust Diaries (4), 4
SOCI 107, Epidemiological Methods: Statistical Study of Disease (4), 4
SOCI 108, Survey Research Design (4), 4
SOCI 109, Analysis of Sociological Data (4), 4
SOCI 109M, Research Reporting (4), 4
SOCI 110, Qualitative  Research in Educational Settings (4), 4
SOCI 111, Local Lives, Global Problems (4), 4
SOCI 112, Social Psychology (4), 4
SOCI 113, Sociology of the AIDS Epidemic (4), 4
SOCI 114, Just a Joke?: Sociology of Humor (4), 4
SOCI 115, Social Problems (4), 4
SOCI 116, Gender and Language in Society (4), 4
SOCI 117, Language, Culture, and Education (4), 4
SOCI 118, Sociology of Gender (4), 4
SOCI 118E, Sociology of Language (4), 4
SOCI 119, Sociology  of Sexuality and Sexual Identities (4), 4
SOCI 120, Sociology Through Literature (4), 4
SOCI 120T, Special Topics in Culture, Language, and Social Interaction (4), 4
SOCI 121, Economy and Society (4), 4
SOCI 122, Social Networks (4), 4
SOCI 124, The Good Society (4), 4
SOCI 125, Sociology of Immigration (4), 4
SOCI 126, Social Organization of Education (4), 4
SOCI 127, Immigration, Race, and Ethnicity (4), 4
SOCI 128, Religion and Popular Culture in East Asia (4), 4
SOCI 129, The Family (4), 4
SOCI 130, Population and Society (4), 4
SOCI 131, Sociology of Youth (4), 4
SOCI 132, Gender and Work (4), 4
SOCI 133, Immigration  in Comparative Perspective (4), 4
SOCI 134, The Making of Modern Medicine (4), 4
SOCI 135, Medical Sociology (4), 4
SOCI 136E, Sociology of Mental Illness: A Historical Approach (4), 4
SOCI 136F, Sociology of Mental Illness in Contemporary Society (4), 4
SOCI 137, Sociology of Food (4), 4
SOCI 138, Genetics and Society (4), 4
SOCI 139, Social Inequality: Class, Race, and Gender (4), 4
SOCI 140, Sociology of Law (4), 4
SOCI 140F, Law and the Workplace (4), 4
SOCI 141, Crime and Society (4), 4
SOCI 142, Social Deviance (4), 4
SOCI 143, Suicide (4), 4
SOCI 144, Forms of Social Control (4), 4
SOCI 145, Violence and Society (4), 4
SOCI 146, Criminal Punishment (4), 4
SOCI 147, Organizations,  Society, and Social Justice (4), 4
SOCI 148, Political Sociology (4), 4
SOCI 148E, Inequality and Jobs (4), 4
SOCI 148GS, Political Sociology (4), 4
SOCI 149, Sociology of the Environment (4), 4
